date,period,borough,gss_code,sales_volume,avg_price_all_property_types
2001-06-01,2001-06,Newham,E09000025,562,111420
2001-06-01,2001-06,Tower Hamlets,E09000030,510,179200
2001-06-01,2001-06,Waltham Forest,E09000031,513,119952
2001-07-01,2001-07,Greenwich,E09000011,424,132742
2001-07-01,2001-07,Hackney,E09000012,292,161031
2001-07-01,2001-07,Newham,E09000025,456,111624
2001-07-01,2001-07,Tower Hamlets,E09000030,496,182127
2001-07-01,2001-07,Waltham Forest,E09000031,493,122196
2001-08-01,2001-08,Greenwich,E09000011,477,134273
2001-08-01,2001-08,Hackney,E09000012,322,162877
2001-08-01,2001-08,Newham,E09000025,494,114174
2001-08-01,2001-08,Tower Hamlets,E09000030,482,184081
2001-08-01,2001-08,Waltham Forest,E09000031,553,125713
2001-09-01,2001-09,Greenwich,E09000011,496,138563
2001-09-01,2001-09,Hackney,E09000012,278,162664
2001-09-01,2001-09,Newham,E09000025,433,117510
2001-09-01,2001-09,Tower Hamlets,E09000030,434,185722
2001-09-01,2001-09,Waltham Forest,E09000031,459,128906
2001-10-01,2001-10,Greenwich,E09000011,458,140314
2001-10-01,2001-10,Hackney,E09000012,298,165702
2001-10-01,2001-10,Newham,E09000025,474,122198
2001-10-01,2001-10,Tower Hamlets,E09000030,383,186909
2001-10-01,2001-10,Waltham Forest,E09000031,488,133281
2001-11-01,2001-11,Greenwich,E09000011,409,142137
2001-11-01,2001-11,Hackney,E09000012,292,166156
2001-11-01,2001-11,Newham,E09000025,539,124368
2001-11-01,2001-11,Tower Hamlets,E09000030,316,188734
2001-11-01,2001-11,Waltham Forest,E09000031,458,135553
2001-12-01,2001-12,Greenwich,E09000011,401,142436
2001-12-01,2001-12,Hackney,E09000012,252,168382
2001-12-01,2001-12,Newham,E09000025,538,125824
2001-12-01,2001-12,Tower Hamlets,E09000030,338,186102
2001-12-01,2001-12,Waltham Forest,E09000031,351,137669
2002-01-01,2002-01,Greenwich,E09000011,282,141840
2002-01-01,2002-01,Hackney,E09000012,185,170603
2002-01-01,2002-01,Newham,E09000025,369,128168
2002-01-01,2002-01,Tower Hamlets,E09000030,258,186693
2002-01-01,2002-01,Waltham Forest,E09000031,330,137327
2002-02-01,2002-02,Greenwich,E09000011,303,142816
2002-02-01,2002-02,Hackney,E09000012,230,170258
2002-02-01,2002-02,Newham,E09000025,385,129358
2002-02-01,2002-02,Tower Hamlets,E09000030,297,189818
2002-02-01,2002-02,Waltham Forest,E09000031,400,139434
2002-03-01,2002-03,Greenwich,E09000011,477,147160
2002-03-01,2002-03,Hackney,E09000012,305,173064
2002-03-01,2002-03,Newham,E09000025,548,130442
2002-03-01,2002-03,Tower Hamlets,E09000030,380,194622
2002-03-01,2002-03,Waltham Forest,E09000031,413,139955
2002-04-01,2002-04,Greenwich,E09000011,427,152218
2002-04-01,2002-04,Hackney,E09000012,284,170731
2002-04-01,2002-04,Newham,E09000025,467,131990
2002-04-01,2002-04,Tower Hamlets,E09000030,416,197317
2002-04-01,2002-04,Waltham Forest,E09000031,441,142060
2002-05-01,2002-05,Greenwich,E09000011,575,156788
2002-05-01,2002-05,Hackney,E09000012,388,176498
2002-05-01,2002-05,Newham,E09000025,545,135360
2002-05-01,2002-05,Tower Hamlets,E09000030,535,198834
2002-05-01,2002-05,Waltham Forest,E09000031,523,143500
2002-06-01,2002-06,Greenwich,E09000011,463,153760
2002-06-01,2002-06,Hackney,E09000012,294,180868
2002-06-01,2002-06,Newham,E09000025,412,140267
2002-06-01,2002-06,Tower Hamlets,E09000030,462,204662
2002-06-01,2002-06,Waltham Forest,E09000031,408,147334
2002-07-01,2002-07,Greenwich,E09000011,470,155596
2002-07-01,2002-07,Hackney,E09000012,351,191613
2002-07-01,2002-07,Newham,E09000025,556,143292
2002-07-01,2002-07,Tower Hamlets,E09000030,477,206889
2002-07-01,2002-07,Waltham Forest,E09000031,538,152733
2002-08-01,2002-08,Greenwich,E09000011,504,157735
2002-08-01,2002-08,Hackney,E09000012,388,195911
2002-08-01,2002-08,Newham,E09000025,489,148735
2002-08-01,2002-08,Tower Hamlets,E09000030,502,210008
2002-08-01,2002-08,Waltham Forest,E09000031,495,157302
2002-09-01,2002-09,Greenwich,E09000011,478,162731
2002-09-01,2002-09,Hackney,E09000012,337,200663
2002-09-01,2002-09,Newham,E09000025,435,152180
2002-09-01,2002-09,Tower Hamlets,E09000030,368,211298
2002-09-01,2002-09,Waltham Forest,E09000031,496,164077
2002-10-01,2002-10,Greenwich,E09000011,461,164578
2002-10-01,2002-10,Hackney,E09000012,346,200994
2002-10-01,2002-10,Newham,E09000025,447,158195
2002-10-01,2002-10,Tower Hamlets,E09000030,354,219065
2002-10-01,2002-10,Waltham Forest,E09000031,444,168389
2002-11-01,2002-11,Greenwich,E09000011,451,165247
2002-11-01,2002-11,Hackney,E09000012,296,203471
2002-11-01,2002-11,Newham,E09000025,460,160751
2002-11-01,2002-11,Tower Hamlets,E09000030,336,221671
2002-11-01,2002-11,Waltham Forest,E09000031,440,171793
2002-12-01,2002-12,Greenwich,E09000011,504,167528
2002-12-01,2002-12,Hackney,E09000012,252,201921
2002-12-01,2002-12,Newham,E09000025,401,164665
2002-12-01,2002-12,Tower Hamlets,E09000030,330,226238
2002-12-01,2002-12,Waltham Forest,E09000031,360,171605
2003-01-01,2003-01,Greenwich,E09000011,357,170239
2003-01-01,2003-01,Hackney,E09000012,232,204134
2003-01-01,2003-01,Newham,E09000025,391,167430
2003-01-01,2003-01,Tower Hamlets,E09000030,286,226556
2003-01-01,2003-01,Waltham Forest,E09000031,351,175473
2003-02-01,2003-02,Greenwich,E09000011,298,175100
2003-02-01,2003-02,Hackney,E09000012,194,207125
2003-02-01,2003-02,Newham,E09000025,349,169211
2003-02-01,2003-02,Tower Hamlets,E09000030,233,228607
2003-02-01,2003-02,Waltham Forest,E09000031,384,177267
2003-03-01,2003-03,Greenwich,E09000011,325,178004
2003-03-01,2003-03,Hackney,E09000012,172,206909
2003-03-01,2003-03,Newham,E09000025,428,171149
2003-03-01,2003-03,Tower Hamlets,E09000030,240,227082
2003-03-01,2003-03,Waltham Forest,E09000031,413,178189
2003-04-01,2003-04,Greenwich,E09000011,355,178943
2003-04-01,2003-04,Hackney,E09000012,178,204228
2003-04-01,2003-04,Newham,E09000025,388,173785
2003-04-01,2003-04,Tower Hamlets,E09000030,225,228574
2003-04-01,2003-04,Waltham Forest,E09000031,328,178308
2003-05-01,2003-05,Greenwich,E09000011,398,179960
2003-05-01,2003-05,Hackney,E09000012,197,206305
2003-05-01,2003-05,Newham,E09000025,429,175156
2003-05-01,2003-05,Tower Hamlets,E09000030,331,228665
2003-05-01,2003-05,Waltham Forest,E09000031,363,181133
2003-06-01,2003-06,Greenwich,E09000011,470,182624
2003-06-01,2003-06,Hackney,E09000012,251,207485
2003-06-01,2003-06,Newham,E09000025,464,174779
2003-06-01,2003-06,Tower Hamlets,E09000030,298,229163
2003-06-01,2003-06,Waltham Forest,E09000031,404,182825
2003-07-01,2003-07,Greenwich,E09000011,377,183771
2003-07-01,2003-07,Hackney,E09000012,240,213538
2003-07-01,2003-07,Newham,E09000025,483,175072
2003-07-01,2003-07,Tower Hamlets,E09000030,336,226798
2003-07-01,2003-07,Waltham Forest,E09000031,426,182968
2003-08-01,2003-08,Greenwich,E09000011,477,183070
2003-08-01,2003-08,Hackney,E09000012,263,209098
2003-08-01,2003-08,Newham,E09000025,435,175749
2003-08-01,2003-08,Tower Hamlets,E09000030,361,228371
2003-08-01,2003-08,Waltham Forest,E09000031,417,181604
2003-09-01,2003-09,Greenwich,E09000011,491,181566
2003-09-01,2003-09,Hackney,E09000012,230,209276
2003-09-01,2003-09,Newham,E09000025,474,179676
2003-09-01,2003-09,Tower Hamlets,E09000030,401,227395
2003-09-01,2003-09,Waltham Forest,E09000031,445,181119
2003-10-01,2003-10,Greenwich,E09000011,419,183631
2003-10-01,2003-10,Hackney,E09000012,267,207063
2003-10-01,2003-10,Newham,E09000025,584,180656
2003-10-01,2003-10,Tower Hamlets,E09000030,451,227014
2003-10-01,2003-10,Waltham Forest,E09000031,525,180562
2003-11-01,2003-11,Greenwich,E09000011,471,184672
2003-11-01,2003-11,Hackney,E09000012,266,209861
2003-11-01,2003-11,Newham,E09000025,494,184767
2003-11-01,2003-11,Tower Hamlets,E09000030,469,227983
2003-11-01,2003-11,Waltham Forest,E09000031,432,183519
2003-12-01,2003-12,Greenwich,E09000011,504,185726
2003-12-01,2003-12,Hackney,E09000012,274,209661
2003-12-01,2003-12,Newham,E09000025,474,184419
2003-12-01,2003-12,Tower Hamlets,E09000030,461,232440
2003-12-01,2003-12,Waltham Forest,E09000031,443,186324
2004-01-01,2004-01,Greenwich,E09000011,336,187006
2004-01-01,2004-01,Hackney,E09000012,269,215038
2004-01-01,2004-01,Newham,E09000025,386,184233
2004-01-01,2004-01,Tower Hamlets,E09000030,351,233161
2004-01-01,2004-01,Waltham Forest,E09000031,404,190386
2004-02-01,2004-02,Greenwich,E09000011,390,189178
2004-02-01,2004-02,Hackney,E09000012,258,213828
2004-02-01,2004-02,Newham,E09000025,385,184400
2004-02-01,2004-02,Tower Hamlets,E09000030,345,235260
2004-02-01,2004-02,Waltham Forest,E09000031,370,190595
2004-03-01,2004-03,Greenwich,E09000011,517,191912
2004-03-01,2004-03,Hackney,E09000012,329,222938
2004-03-01,2004-03,Newham,E09000025,446,187921
2004-03-01,2004-03,Tower Hamlets,E09000030,481,231446
2004-03-01,2004-03,Waltham Forest,E09000031,446,191985
2004-04-01,2004-04,Greenwich,E09000011,457,195050
2004-04-01,2004-04,Hackney,E09000012,324,220834
2004-04-01,2004-04,Newham,E09000025,426,190820
2004-04-01,2004-04,Tower Hamlets,E09000030,496,235260
2004-04-01,2004-04,Waltham Forest,E09000031,456,192686
2004-05-01,2004-05,Greenwich,E09000011,536,197462
2004-05-01,2004-05,Hackney,E09000012,284,221841
2004-05-01,2004-05,Newham,E09000025,347,190407
2004-05-01,2004-05,Tower Hamlets,E09000030,477,237977
2004-05-01,2004-05,Waltham Forest,E09000031,375,195310
2004-06-01,2004-06,Greenwich,E09000011,600,197468
2004-06-01,2004-06,Hackney,E09000012,316,218033
2004-06-01,2004-06,Newham,E09000025,465,191788
2004-06-01,2004-06,Tower Hamlets,E09000030,516,244397
2004-06-01,2004-06,Waltham Forest,E09000031,475,197474
2004-07-01,2004-07,Greenwich,E09000011,568,198888
2004-07-01,2004-07,Hackney,E09000012,337,219853
2004-07-01,2004-07,Newham,E09000025,436,194475
2004-07-01,2004-07,Tower Hamlets,E09000030,716,244020
2004-07-01,2004-07,Waltham Forest,E09000031,461,200347
2004-08-01,2004-08,Greenwich,E09000011,532,201285
2004-08-01,2004-08,Hackney,E09000012,288,226443
2004-08-01,2004-08,Newham,E09000025,451,198901
2004-08-01,2004-08,Tower Hamlets,E09000030,568,247161
2004-08-01,2004-08,Waltham Forest,E09000031,418,200436
2004-09-01,2004-09,Greenwich,E09000011,523,201907
2004-09-01,2004-09,Hackney,E09000012,254,229652
2004-09-01,2004-09,Newham,E09000025,390,201296
2004-09-01,2004-09,Tower Hamlets,E09000030,611,247008
2004-09-01,2004-09,Waltham Forest,E09000031,376,201081
2004-10-01,2004-10,Greenwich,E09000011,411,202925
2004-10-01,2004-10,Hackney,E09000012,254,234686
2004-10-01,2004-10,Newham,E09000025,361,201397
2004-10-01,2004-10,Tower Hamlets,E09000030,405,247746
2004-10-01,2004-10,Waltham Forest,E09000031,360,202536
2004-11-01,2004-11,Greenwich,E09000011,373,202813
2004-11-01,2004-11,Hackney,E09000012,191,238488
2004-11-01,2004-11,Newham,E09000025,313,201460
2004-11-01,2004-11,Tower Hamlets,E09000030,358,246427
2004-11-01,2004-11,Waltham Forest,E09000031,319,204254
2004-12-01,2004-12,Greenwich,E09000011,396,202263
2004-12-01,2004-12,Hackney,E09000012,218,239072
2004-12-01,2004-12,Newham,E09000025,319,200943
2004-12-01,2004-12,Tower Hamlets,E09000030,470,247980
2004-12-01,2004-12,Waltham Forest,E09000031,282,204191
2005-01-01,2005-01,Greenwich,E09000011,261,199802
2005-01-01,2005-01,Hackney,E09000012,143,238369
2005-01-01,2005-01,Newham,E09000025,211,199818
2005-01-01,2005-01,Tower Hamlets,E09000030,321,250824
2005-01-01,2005-01,Waltham Forest,E09000031,220,200515
2005-02-01,2005-02,Greenwich,E09000011,281,199786
2005-02-01,2005-02,Hackney,E09000012,160,236941
2005-02-01,2005-02,Newham,E09000025,263,200895
2005-02-01,2005-02,Tower Hamlets,E09000030,311,248186
2005-02-01,2005-02,Waltham Forest,E09000031,277,198434
2005-03-01,2005-03,Greenwich,E09000011,359,203406
2005-03-01,2005-03,Hackney,E09000012,159,236444
2005-03-01,2005-03,Newham,E09000025,288,199943
2005-03-01,2005-03,Tower Hamlets,E09000030,362,247131
2005-03-01,2005-03,Waltham Forest,E09000031,245,198780
2005-04-01,2005-04,Greenwich,E09000011,376,204204
2005-04-01,2005-04,Hackney,E09000012,181,234262
2005-04-01,2005-04,Newham,E09000025,290,201498
2005-04-01,2005-04,Tower Hamlets,E09000030,389,251950
2005-04-01,2005-04,Waltham Forest,E09000031,266,200706
2005-05-01,2005-05,Greenwich,E09000011,390,204498
2005-05-01,2005-05,Hackney,E09000012,196,229216
2005-05-01,2005-05,Newham,E09000025,301,199411
2005-05-01,2005-05,Tower Hamlets,E09000030,393,249782
2005-05-01,2005-05,Waltham Forest,E09000031,298,201792
2005-06-01,2005-06,Greenwich,E09000011,479,205476
2005-06-01,2005-06,Hackney,E09000012,243,227454
2005-06-01,2005-06,Newham,E09000025,374,201680
2005-06-01,2005-06,Tower Hamlets,E09000030,398,249576
2005-06-01,2005-06,Waltham Forest,E09000031,355,204633
2005-07-01,2005-07,Greenwich,E09000011,406,209199
2005-07-01,2005-07,Hackney,E09000012,266,230916
2005-07-01,2005-07,Newham,E09000025,363,202887
2005-07-01,2005-07,Tower Hamlets,E09000030,497,240730
2005-07-01,2005-07,Waltham Forest,E09000031,445,204994
2005-08-01,2005-08,Greenwich,E09000011,398,210376
2005-08-01,2005-08,Hackney,E09000012,237,235686
2005-08-01,2005-08,Newham,E09000025,331,204649
2005-08-01,2005-08,Tower Hamlets,E09000030,421,242912
2005-08-01,2005-08,Waltham Forest,E09000031,417,206655
2005-09-01,2005-09,Greenwich,E09000011,453,211342
2005-09-01,2005-09,Hackney,E09000012,252,242552
2005-09-01,2005-09,Newham,E09000025,345,203082
2005-09-01,2005-09,Tower Hamlets,E09000030,438,242198
2005-09-01,2005-09,Waltham Forest,E09000031,394,206617
2005-10-01,2005-10,Greenwich,E09000011,473,211843
2005-10-01,2005-10,Hackney,E09000012,241,238055
2005-10-01,2005-10,Newham,E09000025,354,202449
2005-10-01,2005-10,Tower Hamlets,E09000030,453,243981
2005-10-01,2005-10,Waltham Forest,E09000031,453,207206
2005-11-01,2005-11,Greenwich,E09000011,388,213711
2005-11-01,2005-11,Hackney,E09000012,217,237781
2005-11-01,2005-11,Newham,E09000025,376,203947
2005-11-01,2005-11,Tower Hamlets,E09000030,405,248512
2005-11-01,2005-11,Waltham Forest,E09000031,445,207226
2005-12-01,2005-12,Greenwich,E09000011,434,214261
2005-12-01,2005-12,Hackney,E09000012,249,240326
2005-12-01,2005-12,Newham,E09000025,413,206513
2005-12-01,2005-12,Tower Hamlets,E09000030,412,256384
2005-12-01,2005-12,Waltham Forest,E09000031,439,206366
2006-01-01,2006-01,Greenwich,E09000011,341,213487
2006-01-01,2006-01,Hackney,E09000012,249,246326
2006-01-01,2006-01,Newham,E09000025,328,207079
2006-01-01,2006-01,Tower Hamlets,E09000030,368,259211
2006-01-01,2006-01,Waltham Forest,E09000031,329,207294
2006-02-01,2006-02,Greenwich,E09000011,290,212360
2006-02-01,2006-02,Hackney,E09000012,239,248408
2006-02-01,2006-02,Newham,E09000025,334,204552
2006-02-01,2006-02,Tower Hamlets,E09000030,325,255656
2006-02-01,2006-02,Waltham Forest,E09000031,327,208381
2006-03-01,2006-03,Greenwich,E09000011,474,212077
2006-03-01,2006-03,Hackney,E09000012,296,247129
2006-03-01,2006-03,Newham,E09000025,375,202396
2006-03-01,2006-03,Tower Hamlets,E09000030,435,251002
2006-03-01,2006-03,Waltham Forest,E09000031,409,208156
2006-04-01,2006-04,Greenwich,E09000011,316,210495
2006-04-01,2006-04,Hackney,E09000012,212,250156
2006-04-01,2006-04,Newham,E09000025,283,203887
2006-04-01,2006-04,Tower Hamlets,E09000030,373,257017
2006-04-01,2006-04,Waltham Forest,E09000031,344,208538
2006-05-01,2006-05,Greenwich,E09000011,400,213294
2006-05-01,2006-05,Hackney,E09000012,253,252899
2006-05-01,2006-05,Newham,E09000025,355,208873
2006-05-01,2006-05,Tower Hamlets,E09000030,454,260893
2006-05-01,2006-05,Waltham Forest,E09000031,365,209664
2006-06-01,2006-06,Greenwich,E09000011,476,217567
2006-06-01,2006-06,Hackney,E09000012,276,261096
2006-06-01,2006-06,Newham,E09000025,401,213214
2006-06-01,2006-06,Tower Hamlets,E09000030,566,264657
2006-06-01,2006-06,Waltham Forest,E09000031,427,212654
2006-07-01,2006-07,Greenwich,E09000011,440,222105
2006-07-01,2006-07,Hackney,E09000012,320,264164
2006-07-01,2006-07,Newham,E09000025,480,214002
2006-07-01,2006-07,Tower Hamlets,E09000030,491,263997
2006-07-01,2006-07,Waltham Forest,E09000031,435,217861
2006-08-01,2006-08,Greenwich,E09000011,578,223803
2006-08-01,2006-08,Hackney,E09000012,370,270680
2006-08-01,2006-08,Newham,E09000025,391,214808
2006-08-01,2006-08,Tower Hamlets,E09000030,509,269271
2006-08-01,2006-08,Waltham Forest,E09000031,498,219978
2006-09-01,2006-09,Greenwich,E09000011,516,224186
2006-09-01,2006-09,Hackney,E09000012,307,273515
2006-09-01,2006-09,Newham,E09000025,352,215741
2006-09-01,2006-09,Tower Hamlets,E09000030,427,274664
2006-09-01,2006-09,Waltham Forest,E09000031,415,223921
2006-10-01,2006-10,Greenwich,E09000011,466,224844
2006-10-01,2006-10,Hackney,E09000012,281,276924
2006-10-01,2006-10,Newham,E09000025,401,219946
2006-10-01,2006-10,Tower Hamlets,E09000030,445,277913
2006-10-01,2006-10,Waltham Forest,E09000031,494,224727
2006-11-01,2006-11,Greenwich,E09000011,447,224423
2006-11-01,2006-11,Hackney,E09000012,300,276657
2006-11-01,2006-11,Newham,E09000025,401,221912
2006-11-01,2006-11,Tower Hamlets,E09000030,480,281320
2006-11-01,2006-11,Waltham Forest,E09000031,502,227199
2006-12-01,2006-12,Greenwich,E09000011,513,226406
2006-12-01,2006-12,Hackney,E09000012,286,274161
2006-12-01,2006-12,Newham,E09000025,356,222352
2006-12-01,2006-12,Tower Hamlets,E09000030,436,285825
2006-12-01,2006-12,Waltham Forest,E09000031,436,230027
2007-01-01,2007-01,Greenwich,E09000011,373,229355
2007-01-01,2007-01,Hackney,E09000012,241,276286
2007-01-01,2007-01,Newham,E09000025,337,223794
2007-01-01,2007-01,Tower Hamlets,E09000030,379,290342
2007-01-01,2007-01,Waltham Forest,E09000031,349,232413
2007-02-01,2007-02,Greenwich,E09000011,401,232438
2007-02-01,2007-02,Hackney,E09000012,234,280159
2007-02-01,2007-02,Newham,E09000025,353,224172
2007-02-01,2007-02,Tower Hamlets,E09000030,365,291472
2007-02-01,2007-02,Waltham Forest,E09000031,368,236377
2007-03-01,2007-03,Greenwich,E09000011,486,231937
2007-03-01,2007-03,Hackney,E09000012,285,285406
2007-03-01,2007-03,Newham,E09000025,372,227726
2007-03-01,2007-03,Tower Hamlets,E09000030,486,294287
2007-03-01,2007-03,Waltham Forest,E09000031,438,235703
2007-04-01,2007-04,Greenwich,E09000011,370,235403
2007-04-01,2007-04,Hackney,E09000012,266,285799
2007-04-01,2007-04,Newham,E09000025,294,228541
2007-04-01,2007-04,Tower Hamlets,E09000030,432,301023
2007-04-01,2007-04,Waltham Forest,E09000031,358,238195
2007-05-01,2007-05,Greenwich,E09000011,419,238392
2007-05-01,2007-05,Hackney,E09000012,309,291002
2007-05-01,2007-05,Newham,E09000025,323,231959
2007-05-01,2007-05,Tower Hamlets,E09000030,468,311269
2007-05-01,2007-05,Waltham Forest,E09000031,400,239691
2007-06-01,2007-06,Greenwich,E09000011,442,240466
2007-06-01,2007-06,Hackney,E09000012,361,291737
2007-06-01,2007-06,Newham,E09000025,398,235551
2007-06-01,2007-06,Tower Hamlets,E09000030,490,317125
2007-06-01,2007-06,Waltham Forest,E09000031,467,243605
2007-07-01,2007-07,Greenwich,E09000011,483,242496
2007-07-01,2007-07,Hackney,E09000012,315,301681
2007-07-01,2007-07,Newham,E09000025,442,238652
2007-07-01,2007-07,Tower Hamlets,E09000030,531,323951
2007-07-01,2007-07,Waltham Forest,E09000031,429,247296
2007-08-01,2007-08,Greenwich,E09000011,510,245466
2007-08-01,2007-08,Hackney,E09000012,353,311812
2007-08-01,2007-08,Newham,E09000025,439,243100
2007-08-01,2007-08,Tower Hamlets,E09000030,456,329771
2007-08-01,2007-08,Waltham Forest,E09000031,523,250804
2007-09-01,2007-09,Greenwich,E09000011,513,249632
2007-09-01,2007-09,Hackney,E09000012,335,324570
2007-09-01,2007-09,Newham,E09000025,373,244923
2007-09-01,2007-09,Tower Hamlets,E09000030,503,330249
2007-09-01,2007-09,Waltham Forest,E09000031,408,254088
2007-10-01,2007-10,Greenwich,E09000011,435,251424
2007-10-01,2007-10,Hackney,E09000012,308,322717
2007-10-01,2007-10,Newham,E09000025,374,247188
2007-10-01,2007-10,Tower Hamlets,E09000030,450,332518
2007-10-01,2007-10,Waltham Forest,E09000031,426,251857
2007-11-01,2007-11,Greenwich,E09000011,425,251409
2007-11-01,2007-11,Hackney,E09000012,307,320430
2007-11-01,2007-11,Newham,E09000025,377,246518
2007-11-01,2007-11,Tower Hamlets,E09000030,461,328072
2007-11-01,2007-11,Waltham Forest,E09000031,375,252972
2007-12-01,2007-12,Greenwich,E09000011,324,251525
2007-12-01,2007-12,Hackney,E09000012,241,311338
2007-12-01,2007-12,Newham,E09000025,288,246311
2007-12-01,2007-12,Tower Hamlets,E09000030,384,332792
2007-12-01,2007-12,Waltham Forest,E09000031,284,253782
2008-01-01,2008-01,Greenwich,E09000011,251,251786
2008-01-01,2008-01,Hackney,E09000012,178,318655
2008-01-01,2008-01,Newham,E09000025,307,247223
2008-01-01,2008-01,Tower Hamlets,E09000030,272,330037
2008-01-01,2008-01,Waltham Forest,E09000031,247,258043
2008-02-01,2008-02,Greenwich,E09000011,262,253031
2008-02-01,2008-02,Hackney,E09000012,181,317203
2008-02-01,2008-02,Newham,E09000025,352,244647
2008-02-01,2008-02,Tower Hamlets,E09000030,248,339006
2008-02-01,2008-02,Waltham Forest,E09000031,245,256043
