games_year,bid_award_year,host_city,country,event_label
1988,1981,Seoul,South Korea,Seoul Summer Olympics
1992,1986,Barcelona,Spain,Barcelona Summer Olympics
1996,1990,Atlanta,United States,Atlanta Summer Olympics
2004,1997,Athens,Greece,Athens Summer Olympics
2008,2001,Beijing,China,Beijing Summer Olympics
2012,2005,London,United Kingdom,London Summer Olympics
2016,2009,Rio de Janeiro,Brazil,Rio Summer Olympics
2024,2017,Paris,France,Paris Summer Olympics
2028,2017,Los Angeles,United States,Los Angeles Summer Olympics
