"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2020-09,196,monthly,471569,902472,688000,531727,370430,2020-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2020-10,247,monthly,481837,928798,705545,545002,377092,2020-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2020-11,239,monthly,485105,937268,710243,549360,379232,2020-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2020-12,297,monthly,487472,943260,713630,553366,380260,2020-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-01,264,monthly,485426,929921,707381,549596,380007,2021-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-02,382,monthly,486486,922416,704745,549143,382437,2021-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-03,560,monthly,485803,907869,697998,545677,384461,2021-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-04,293,monthly,481947,900748,690603,541175,381785,2021-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-05,254,monthly,479221,898571,687100,538179,379481,2021-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-06,854,monthly,476821,894220,682802,537853,375840,2021-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-07,78,monthly,475336,895649,682844,534148,375947,2021-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-08,173,monthly,475145,902178,688087,534621,374459,2021-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-09,413,monthly,477766,914426,696635,536931,376304,2021-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-10,156,monthly,480684,931312,706683,542893,375582,2021-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-11,200,monthly,480801,933136,707331,543170,375482,2021-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2021-12,259,monthly,478806,938768,708164,541643,372763,2021-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-01,200,monthly,477674,932528,706548,542103,370588,2022-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-02,198,monthly,477138,930755,704868,542134,370006,2022-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-03,269,monthly,475669,927611,703836,540860,368374,2022-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-04,230,monthly,478383,930526,706352,544695,370000,2022-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,2022-05,224,monthly,484606,942903,716999,553129,373249,2022-05-01
